message,Jumlah
Fanspeed under threshold: 2611 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 4860 rpm (< 5232 rpm),5
ifAlias:  -> ppp224,5
ifAlias:  -> ppp226,5
Fanspeed under threshold: 2499 rpm (< 2754.4 rpm),5
ifAlias: KaptenBatu -> et-0/0/1.2144,5
ifAlias:  -> ppp242,5
Sensor Added: state mtxrGaugeStatus 7402 psu2-state,5
ifAlias: Downstream -> et-0/0/1,5
ifDescr:  -> ppp383,5
Sensor Added: current routeros mtxrOpticalTxBiasCurrent.1 sfp-sfpplus1-Nex1/3/2 Tx Bias,5
Sensor Added: temperature qnap diskTemperture.2 Disk 2 Seagate ST10000VN000-3AK101 (SATA),5
ifDescr:  -> ppp382,5
Fanspeed under threshold: 2642 rpm (< 2754.4 rpm),5
Sensor Added: state mtxrGaugeStatus 7401 psu1-state,5
ifAlias: CCR2216-MLG-VIA-GIT -> et-0/0/1.1707,5
ifAlias:  -> ppp294,5
Fanspeed under threshold: 2625 rpm (< 2754.4 rpm),5
ifAlias: CCR2216-MLG -> et-0/0/1.2142,5
Fanspeed under threshold: 2626 rpm (< 2754.4 rpm),5
Sensor Added: temperature qnap systemPowerTemp.1 Enclosure 0 PSU {{ $systemPowerID}},5
Fanspeed under threshold: 2628 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 5010 rpm (< 5232 rpm),5
ifDescr:  -> ppp314,5
Sensor Added: temperature qnap systemPowerTemp.2 Enclosure 0 PSU {{ $systemPowerID}},5
Sensor Added: temperature qnap systemPowerTemp.3 Enclosure 32 PSU {{ $systemPowerID}},5
ifDescr:  -> ppp30,5
ifDescr:  -> ppp294,5
ifDescr:  -> ppp269,5
Fanspeed under threshold: 2636 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2637 rpm (< 2754.4 rpm),5
Fanspeed under threshold: 2555 rpm (< 2754.4 rpm),5
Sensor Added: temperature qnap systemPowerTemp.4 Enclosure 33 PSU {{ $systemPowerID}},5
Fanspeed under threshold: 4245 rpm (< 4860 rpm),5
Fanspeed under threshold: 2713 rpm (< 2754.4 rpm),5
ifDescr: GG2 indomaret -> gpon_1/5/13,4
ifDescr: Hongrie Yong Tambayong Jl.danau Paniai H4c3 6285198197562 -> gpon_1/4/10,4
ifDescr: Jayus sanuba Jl.Wendit Barat 6285185577756 -> gpon_1/5/16,4
ifDescr: Jl Raya Ki Ageng Gribig Gg 2 No 45B -> gpon_1/4/12,4
ifDescr: Jl Raya Ki Ageng Gribig Gg 2 No 45B -> gpon_1/5/3,4
ifDescr: Pertigaan SMK6 -> gpon_1/5/10,4
ifDescr: gpon_1/4/10 -> Hongrie Yong Tambayong Jl.danau Paniai H4c3 6285198197562,4
ifDescr: gpon_1/4/12 -> Jl Raya Ki Ageng Gribig Gg 2 No 45B,4
ifDescr: gpon_1/5/10 -> Pertigaan SMK6,4
ifSpeed: 20 Gbps -> 10 Gbps,4
ifSpeed: 20 Gbps -> 100 Mbps,4
ifDescr: gpon_1/5/13 -> GG2 indomaret,4
ifDescr: gpon_1/5/16 -> Jayus sanuba Jl.Wendit Barat 6285185577756,4
ifDescr: gpon_1/5/3 -> Jl Raya Ki Ageng Gribig Gg 2 No 45B,4
Fanspeed under threshold: 4695 rpm (< 5232 rpm),4
Fanspeed under threshold: 4680 rpm (< 4860 rpm),4
Fanspeed under threshold: 4650 rpm (< 4860 rpm),4
Fanspeed under threshold: 4605 rpm (< 4860 rpm),4
ifPhysAddress:  -> 48df3736ae7d,4
ifPhysAddress: 48df3736ae7d -> NULL,4
ifSpeed: 1 Gbps -> 0 bps,4
Fanspeed under threshold: 4530 rpm (< 4860 rpm),4
Fanspeed under threshold: 4485 rpm (< 5232 rpm),4
Fanspeed under threshold: 4485 rpm (< 4860 rpm),4
Fanspeed above threshold: 6930 rpm (> 6804 rpm),4
ifType: ppp -> NULL,4
Fanspeed under threshold: 4470 rpm (< 4860 rpm),4
ifAlias:  -> ppp367,4
Voltage under threshold: 0 V (< 2.82795 V),4
Voltage under threshold: 0 V (< 20.91 V),4
ifAlias:  -> ppp175,4
ifAlias:  -> ppp376,4
ifAlias:  -> ppp377,4
ifAlias:  -> ppp199,4
ifAlias:  -> ppp210,4
ifAlias:  -> ppp384,4
ifAlias:  -> ppp220,4
Fanspeed under threshold: 2477 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2502 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2527 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2534 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2558 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2575 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2577 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2581 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2587 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2592 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2594 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2596 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2597 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2599 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2606 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2608 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2620 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2627 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2631 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2632 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2639 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2650 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2654 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2660 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2661 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2664 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2668 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2671 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2673 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2677 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2680 rpm (< 2754.4 rpm),4
ifAlias:  -> ppp389,4
Fanspeed under threshold: 2682 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2687 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2691 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2693 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2697 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2701 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2705 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2710 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2711 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2718 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2719 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2735 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2736 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2742 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 2750 rpm (< 2754.4 rpm),4
Fanspeed under threshold: 4320 rpm (< 4860 rpm),4
Fanspeed under threshold: 4455 rpm (< 4860 rpm),4
ifAlias:  -> ppp108,4
ifAlias:  -> ppp295,4
ifAlias:  -> ppp350,4
ifAlias:  -> ppp126,4
ifAlias:  -> ppp29,4
ifAlias:  -> ppp327,4
ifAlias:  -> ppp305,4
STP topology changed after: 1 week 4 days 12 hours 38 minutes,4
STP topology changed after: 22 minutes 35 seconds,4
ifAlias:  -> ppp340,4
ifAlias:  -> ppp138,4
Temperature above threshold: -15 °C (> -980 °C),4
Temperature above threshold: -27 °C (> -980 °C),4
ifAlias:  -> ppp359,4
ifAlias:  -> ppp285,4
ifAlias: et-0/0/0 -> Upstream,4
ifAlias: et-0/0/0.2706 -> MVIXPLUS,4
ifAlias: et-0/0/0.303 -> ODIX,4
ifAlias: et-0/0/0.3704 -> MVNET-IPTLITE,4
ifAlias: et-0/0/1 -> Downstream,4
ifAlias: et-0/0/1.1707 -> CCR2216-MLG-VIA-GIT,4
ifAlias: et-0/0/1.2142 -> CCR2216-MLG,4
ifAlias: et-0/0/1.2143 -> KaptenJalantra,4
ifAlias: et-0/0/1.2144 -> KaptenBatu,4
ifAlias: et-0/0/2 -> test,4
ifAlias: et-0/0/3 -> test,4
ifDescr:  -> ppp108,4
ifAlias:  -> ppp263,4
ifDescr:  -> ppp126,4
ifDescr:  -> ppp138,4
ifDescr:  -> ppp175,4
ifDescr:  -> ppp199,4
ifDescr:  -> ppp210,4
ifDescr:  -> ppp220,4
Sensor Added: state hdStatus hdStatus.1 Disk 1,4
ifDescr:  -> ppp253,4
ifDescr:  -> ppp263,4
Sensor Added: state hdStatus hdStatus.2 Disk 2,4
ifDescr:  -> ppp285,4
ifDescr:  -> ppp29,4
ifDescr:  -> ppp295,4
Fanspeed under threshold: 5025 rpm (< 5232 rpm),4
ifDescr:  -> ppp305,4
Sensor Added: state hdStatus hdStatus.3 Disk 3,4
ifDescr:  -> ppp327,4
ifAlias:  -> ppp253,4
Sensor Added: state hdStatus hdStatus.4 Disk 4,4
ifDescr:  -> ppp340,4
ifDescr:  -> ppp350,4
ifDescr:  -> ppp359,4
ifDescr:  -> ppp367,4
ifDescr:  -> ppp376,4
ifDescr:  -> ppp377,4
ifDescr:  -> ppp384,4
ifDescr:  -> ppp389,4
Fanspeed under threshold: 4950 rpm (< 5232 rpm),4
Fanspeed under threshold: 4845 rpm (< 5232 rpm),4
Fanspeed under threshold: 4830 rpm (< 4860 rpm),4
Fanspeed under threshold: 4740 rpm (< 5232 rpm),4
ifDescr:  -> ppp135,3
ifAlias:  -> ppp128,3
Temperature above threshold: 63 °C (> 49 °C),3
ifDescr:  -> ppp270,3
Fanspeed under threshold: 2521 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2583 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp218,3
Current under threshold: 0 A (< 0.001 A),3
Temperature under threshold: 0 °C (< 21 °C),3
ifTrunk:  -> dot1Q,3
Fanspeed under threshold: 2563 rpm (< 2754.4 rpm),3
Temperature under threshold: 0 °C (< 22 °C),3
Fanspeed under threshold: 2561 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp273,3
ifDescr:  -> ppp156,3
Fanspeed under threshold: 2580 rpm (< 2754.4 rpm),3
Temperature under threshold: 0 °C (< 25 °C),3
Fanspeed under threshold: 2578 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp163,3
Fanspeed above threshold: 6870 rpm (> 6480 rpm),3
Fanspeed under threshold: 2576 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp265,3
ifAlias:  -> ppp163,3
Fanspeed under threshold: 0 rpm (< 4528 rpm),3
Fanspeed under threshold: 2573 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2613 rpm (< 2754.4 rpm),3
ifAlias:  -> ppp280,3
Fanspeed under threshold: 2557 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2744 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2741 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2734 rpm (< 2754.4 rpm),3
ifAlias: GG2 indomaret -> gpon_1/5/13,3
ifAlias: Hongrie Yong Tambayong Jl.danau Paniai H4c3 6285198197562 -> gpon_1/4/10,3
ifAlias: Jayus sanuba Jl.Wendit Barat 6285185577756 -> gpon_1/5/16,3
ifAlias: Jl Raya Ki Ageng Gribig Gg 2 No 45B -> gpon_1/4/12,3
ifAlias: Jl Raya Ki Ageng Gribig Gg 2 No 45B -> gpon_1/5/3,3
Fanspeed under threshold: 2612 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2724 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2723 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2709 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2704 rpm (< 2754.4 rpm),3
ifAlias: Pertigaan SMK6 -> gpon_1/5/10,3
ifAlias:  -> ppp322,3
ifAlias:  -> ppp135,3
ifAlias:  -> ppp326,3
ifAlias:  -> ppp333,3
ifAlias:  -> ppp394,3
ifAlias:  -> ppp125,3
ifAlias:  -> ppp241,3
Fanspeed under threshold: 2571 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2604 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp184,3
ifAlias:  -> ppp156,3
ifDescr:  -> ppp254,3
ifDescr:  -> ppp266,3
ifAlias: gpon_1/4/10 -> Hongrie Yong Tambayong Jl.danau Paniai H4c3 6285198197562,3
ifAlias: gpon_1/4/12 -> Jl Raya Ki Ageng Gribig Gg 2 No 45B,3
ifAlias: gpon_1/5/10 -> Pertigaan SMK6,3
ifAlias: gpon_1/5/13 -> GG2 indomaret,3
ifAlias: gpon_1/5/16 -> Jayus sanuba Jl.Wendit Barat 6285185577756,3
ifAlias: gpon_1/5/3 -> Jl Raya Ki Ageng Gribig Gg 2 No 45B,3
Fanspeed under threshold: 2689 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2686 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp232,3
ifDescr:  -> ppp267,3
ifDescr:  -> ppp235,3
Fanspeed under threshold: 2548 rpm (< 2754.4 rpm),3
ifAlias:  -> <sstp-bandung-1>,3
ifDescr:  -> ppp191,3
Fanspeed under threshold: 2685 rpm (< 2754.4 rpm),3
ifDescr:  -> <sstp-bandung-1>,3
Fanspeed under threshold: 2552 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2683 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2675 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2669 rpm (< 2754.4 rpm),3
ifAlias:  -> ppp273,3
Fanspeed under threshold: 2667 rpm (< 2754.4 rpm),3
ifAlias:  -> ppp270,3
ifDescr:  -> ppp193,3
Fanspeed under threshold: 2567 rpm (< 2754.4 rpm),3
ifAlias:  -> ppp79,3
Fanspeed under threshold: 2547 rpm (< 2754.4 rpm),3
ifAlias:  -> ppp267,3
Fanspeed under threshold: 2550 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp111,3
ifAlias:  -> ppp266,3
Fanspeed under threshold: 2655 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2652 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp117,3
ifAlias:  -> ppp265,3
Fanspeed under threshold: 2649 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp241,3
ifAlias:  -> ppp64,3
Fanspeed under threshold: 2648 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp203,3
ifDescr:  -> ppp125,3
Sensor Added: fanspeed qnap systemFanSpeed.1 FAN 1,3
Fanspeed under threshold: 2588 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp128,3
Fanspeed under threshold: 2644 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2566 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp207,3
Fanspeed under threshold: 2586 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2640 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2585 rpm (< 2754.4 rpm),3
Sensor Added: fanspeed qnap systemFanSpeed.2 FAN 2,3
Fanspeed under threshold: 2638 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2633 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 5130 rpm (< 5232 rpm),3
ifAlias:  -> ppp254,3
ifDescr:  -> ppp280,3
ifAlias:  -> ppp353,3
ifAlias:  -> ppp235,3
ifAlias:  -> ppp117,3
Fanspeed under threshold: 2541 rpm (< 2754.4 rpm),3
ifAlias:  -> ppp232,3
ifDescr:  -> ppp299,3
ifAlias:  -> ppp111,3
Fanspeed under threshold: 2530 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2528 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp322,3
ifDescr:  -> ppp326,3
ifAlias:  -> ppp356,3
ifDescr:  -> ppp329,3
ifDescr:  -> ppp333,3
Fanspeed under threshold: 2523 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 4980 rpm (< 5232 rpm),3
Temperature above threshold: -11 °C (> -980 °C),3
ifDescr:  -> ppp353,3
Fanspeed under threshold: 2520 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp356,3
Fanspeed under threshold: 2517 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 2514 rpm (< 2754.4 rpm),3
Temperature above threshold: -13 °C (> -980 °C),3
ifDescr:  -> ppp372,3
ifAlias:  -> ppp329,3
ifDescr:  -> ppp379,3
ifDescr:  -> ppp38,3
ifDescr:  -> ppp385,3
ifDescr:  -> ppp390,3
ifDescr:  -> ppp394,3
ifAlias:  -> ppp390,3
ifAlias:  -> ppp299,3
Fanspeed under threshold: 2489 rpm (< 2754.4 rpm),3
Fanspeed under threshold: 4905 rpm (< 5232 rpm),3
Fanspeed under threshold: 4890 rpm (< 5232 rpm),3
ifDescr:  -> ppp64,3
Fanspeed under threshold: 4620 rpm (< 5232 rpm),3
ifAlias:  -> ppp218,3
ifAlias:  -> ppp385,3
Fanspeed under threshold: 2466 rpm (< 2754.4 rpm),3
ifDescr:  -> ppp75,3
ifDescr:  -> ppp79,3
Fanspeed under threshold: 2459 rpm (< 2754.4 rpm),3
Sensor Added: state systemFanStatus systemFanStatus.2 FAN 2,3
Fanspeed under threshold: 4725 rpm (< 5232 rpm),3
Sensor Added: state systemFanStatus systemFanStatus.1 FAN 1,3
Temperature above threshold: -26 °C (> -980 °C),3
ifAlias:  -> ppp75,3
ifAlias:  -> ppp207,3
ifAlias:  -> ppp203,3
ifAlias:  -> ppp38,3
ifAlias:  -> ppp379,3
ifMtu: 1492 -> NULL,3
ifName:  -> ppp300,3
ifName:  -> ppp5,3
ifAlias:  -> ppp193,3
ifAlias:  -> ppp191,3
Temperature above threshold: 0 °C (> -980 °C),3
ifPhysAddress:  -> 7cfe90b0c421,3
ifAlias:  -> ppp184,3
Fanspeed under threshold: 2344 rpm (< 2754.4 rpm),3
ifAlias:  -> ppp372,3
Fanspeed under threshold: 4545 rpm (< 4860 rpm),3
ifSpeed: 0 bps -> 100 Mbps,3
Fanspeed under threshold: 2751 rpm (< 2754.4 rpm),3
ifSpeed: 1 Gbps -> 10 Gbps,3
dBm above threshold: 0 dBm (> -1.001 dBm),3
ifSpeed: 100 Mbps -> 10 Gbps,3
ifSpeed: 100 Mbps -> 20 Gbps,3
Voltage under threshold: 0 V (< 44.4448 V),3
Voltage under threshold: 0 V (< 2.97 V),3
Temperature under threshold: 30 °C (< 33 °C),3
ifDescr:  -> ppp211,2
ifDescr:  -> ppp219,2
ifAlias:  -> ppp344,2
Fanspeed under threshold: 2582 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2574 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp237,2
ifDescr:  -> ppp228,2
ifDescr:  -> ppp230,2
ifDescr:  -> ppp231,2
ifDescr:  -> ppp233,2
Fanspeed under threshold: 2569 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp237,2
ifDescr:  -> ppp24,2
ifAlias:  -> ppp127,2
Fanspeed under threshold: 2564 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2559 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp25,2
Fanspeed under threshold: 2554 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2553 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp259,2
Fanspeed under threshold: 2551 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp88,2
ifDescr:  -> ppp264,2
Fanspeed under threshold: 2549 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp321,2
ifDescr:  -> ppp276,2
Temperature above threshold: 61 °C (> 49 °C),2
Temperature above threshold: 62 °C (> 49 °C),2
"BGP Session Flap: 103.215.176.94 (AS147094 ), last error: Reserved",2
Temperature above threshold: 66 °C (> 63 °C),2
BGP Session Up: 10.246.15.18 (AS5212 ),2
Temperature under threshold: -1000 °C (< 10 °C),2
Fanspeed under threshold: 2544 rpm (< 2754.4 rpm),2
ifType:  -> bridge,2
ifAlias:  -> ppp233,2
Fanspeed under threshold: 2537 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp365,2
ifDescr:  -> ppp171,2
ifDescr:  -> ppp297,2
ifDescr:  -> ppp298,2
Device status changed to Up from  check.,2
Device type: network,2
Fanspeed under threshold: 2535 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2533 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp302,2
ifDescr:  -> ppp303,2
ifDescr:  -> ppp304,2
ifAlias:  -> ppp110,2
ifAlias:  -> ppp355,2
ifDescr:  -> ppp31,2
ifDescr:  -> ppp312,2
ifAlias:  -> ppp231,2
ifAlias:  -> ppp230,2
Fanspeed above threshold: 4300 rpm (> 4140 rpm),2
Fanspeed above threshold: 6720 rpm (> 6480 rpm),2
ifDescr:  -> ppp319,2
ifDescr:  -> ppp321,2
Fanspeed above threshold: 6840 rpm (> 6480 rpm),2
ifDescr:  -> ppp324,2
ifDescr:  -> ppp325,2
Fanspeed above threshold: 6870 rpm (> 6750 rpm),2
Fanspeed above threshold: 6900 rpm (> 6750 rpm),2
ifAlias:  -> ppp142,2
ifAlias:  -> ppp157,2
ifAlias:  -> ppp143,2
ifAlias:  -> ppp362,2
ifDescr:  -> ppp336,2
ifDescr:  -> ppp337,2
Fanspeed under threshold: 2526 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2525 rpm (< 2754.4 rpm),2
Temperature above threshold: -10 °C (> -980 °C),2
Fanspeed under threshold: 2524 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp342,2
ifAlias: BGP -> ether17-Nexxxx,2
ifDescr:  -> ppp344,2
Fanspeed under threshold: 2731 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2690 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2522 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp277,2
STP designated root changed: 3cc786244610 > 50464a704831,2
ifAlias:  -> ppp319,2
ifDescr:  -> ppp355,2
ifAlias:  -> ppp336,2
ifAlias:  -> ppp406,2
ifAlias:  -> ppp337,2
ifAlias:  -> ppp31,2
ifDescr:  -> ppp362,2
ifDescr:  -> ppp365,2
ifAlias:  -> ppp325,2
ifAlias:  -> ppp228,2
ifAlias:  -> ppp312,2
ifAlias:  -> ppp109,2
ifAlias: ether17-Nexxxx -> BGP,2
ifAlias:  -> ppp399,2
ifAlias:  -> ppp277,2
Fanspeed under threshold: 2512 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2511 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp297,2
ifAlias:  -> ppp276,2
Fanspeed under threshold: 2510 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp298,2
Fanspeed under threshold: 2507 rpm (< 2754.4 rpm),2
ifConnectorPresent: false -> true,2
ifDescr:  -> <pptp-RemoteMLGPAS2>,2
ifDescr:  -> ppp395,2
ifDescr:  -> ppp399,2
ifAlias:  -> ppp66,2
ifDescr:  -> ppp40,2
ifDescr:  -> ppp401,2
ifDescr:  -> ppp404,2
ifDescr:  -> ppp405,2
ifDescr:  -> ppp406,2
ifDescr:  -> ppp407,2
Fanspeed under threshold: 2506 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2504 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp25,2
Fanspeed under threshold: 2503 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2500 rpm (< 2754.4 rpm),2
ifAlias:  -> <pptp-RemoteMLGPAS2>,2
Fanspeed under threshold: 2662 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2494 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2658 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2488 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp109,2
ifDescr:  -> ppp110,2
Fanspeed under threshold: 2486 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2485 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp407,2
Fanspeed under threshold: 2484 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2481 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp219,2
ifAlias:  -> ppp264,2
ifAlias:  -> ppp304,2
ifDescr:  -> ppp66,2
Fanspeed under threshold: 4815 rpm (< 5232 rpm),2
Fanspeed under threshold: 2647 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp127,2
Fanspeed under threshold: 2643 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2462 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 4800 rpm (< 5232 rpm),2
Fanspeed under threshold: 2465 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp395,2
Fanspeed under threshold: 2460 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp324,2
Fanspeed under threshold: 4770 rpm (< 5232 rpm),2
Fanspeed under threshold: 4770 rpm (< 4860 rpm),2
Fanspeed under threshold: 2458 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2453 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp211,2
ifDescr:  -> ppp88,2
Fanspeed under threshold: 2448 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2445 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2443 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp142,2
ifDescr:  -> ppp93,2
Fanspeed under threshold: 2442 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp143,2
Fanspeed under threshold: 4725 rpm (< 4860 rpm),2
Fanspeed under threshold: 2440 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2622 rpm (< 2754.4 rpm),2
Temperature above threshold: -23 °C (> -980 °C),2
Temperature above threshold: -24 °C (> -980 °C),2
Sensor Added: state raidStatus raidStatus.2 DataVol2 Raid Single,2
Fanspeed under threshold: 2621 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp405,2
Temperature above threshold: -28 °C (> -980 °C),2
Sensor Added: state raidStatus raidStatus.1 DataVol1 Raid Single,2
ifAlias:  -> ppp404,2
Fanspeed under threshold: 4440 rpm (< 4860 rpm),2
Fanspeed under threshold: 4350 rpm (< 4860 rpm),2
ifDescr:  -> ppp149,2
Fanspeed under threshold: 2437 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp149,2
ifDescr:  -> ppp15,2
ifAlias:  -> ppp93,2
ifAlias:  -> ppp15,2
ifAlias:  -> ppp205,2
ifMtu:  -> 1458,2
Fanspeed under threshold: 2426 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2619 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2752 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp259,2
ifDescr:  -> ppp154,2
ifDescr:  -> ppp157,2
Fanspeed under threshold: 2584 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp196,2
ifName:  -> ppp100,2
ifName:  -> ppp28,2
1 -> 1,2
Fanspeed under threshold: 2615 rpm (< 2754.4 rpm),2
ifName:  -> ppp55,2
ifAlias:  -> ppp195,2
Temperature above threshold: -8 °C (> -980 °C),2
Fanspeed under threshold: 2614 rpm (< 2754.4 rpm),2
ifDescr:  -> ppp169,2
Fanspeed under threshold: 2395 rpm (< 2754.4 rpm),2
Fanspeed under threshold: 2394 rpm (< 2754.4 rpm),2
ifAlias:  -> ppp190,2
ifPhysAddress:  -> 085531056905,2
ifPhysAddress:  -> 488f5a8becdf,2
ifAlias:  -> ppp189,2
ifDescr:  -> ppp172,2
ifPhysAddress:  -> 7cfe90b0c420,2
ifDescr:  -> ppp179,2
